,index,topic,label,text,text_prepro,labels,scores
0,0,Crédit mutuel,positif,"Crédit mutuel, c'est quand même top pour les services financiers ! 💰🔥","crédit mutuel, c'est quand même top pour les services financiers ! ","['Crédit mutuel', 'dispositif', 'finance', 'crucial', 'amélioration', 'morceau', 'banque', 'phrase', 'gentil', 'apte', 'service client', 'progrès', 'rappel', 'pacman', 'conviction', 'consécutif', 'pôle']","[0.986033022403717, 0.9301841259002686, 0.8932162523269653, 0.8806018829345703, 0.8623121976852417, 0.7724171876907349, 0.7177470922470093, 0.712283730506897, 0.7112777829170227, 0.6744515895843506, 0.6326577663421631, 0.6076633930206299, 0.5773633122444153, 0.5514463186264038, 0.5369110703468323, 0.5038506984710693, 0.5013483762741089]"
1,1,Crédit mutuel,positif,"J'adore Crédit mutuel, ça me permet de gérer mes finances avec facilité ! 😊💻","j'adore crédit mutuel, ça me permet de gérer mes finances avec facilité ! ","['Crédit mutuel', 'dispositif', 'banque', 'finance', 'gentil', 'morceau', 'phrase', 'amélioration', 'bien-être', 'conviction', 'consécutif', 'progrès', 'rappel', 'apte', 'stable', 'crucial', 'sensation']","[0.9932276010513306, 0.9753885865211487, 0.964547872543335, 0.9566657543182373, 0.8671713471412659, 0.8262919187545776, 0.7222652435302734, 0.6964439153671265, 0.6889419555664062, 0.6551207900047302, 0.6447831392288208, 0.6097435355186462, 0.6057024002075195, 0.5933806896209717, 0.5829486846923828, 0.5802570581436157, 0.5226681232452393]"
2,2,Crédit mutuel,positif,"Crédit mutuel, c'est où ?! 🤔📍 J'ai toujours besoin de leur aide pour mes besoins financiers. 🤑","crédit mutuel, c'est où ?! j'ai toujours besoin de leur aide pour mes besoins financiers. ","['Crédit mutuel', 'dispositif', 'finance', 'banque', 'phrase', 'morceau', 'service client']","[0.9365648627281189, 0.9133895635604858, 0.8186154961585999, 0.6974412798881531, 0.6470245122909546, 0.6254318356513977, 0.5122569799423218]"
3,3,Crédit mutuel,positif,"Crédit mutuel, c'est vraiment une référence en termes de services bancaires ! 🏆💰","crédit mutuel, c'est vraiment une référence en termes de services bancaires ! ","['Crédit mutuel', 'banque', 'crucial', 'dispositif', 'rappel', 'finance', 'service client', 'conviction', 'morceau', 'phrase']","[0.9560418128967285, 0.8224650025367737, 0.809430718421936, 0.7879313230514526, 0.751054584980011, 0.6724457144737244, 0.5439971089363098, 0.5266495943069458, 0.5148093104362488, 0.5114350914955139]"
4,4,Crédit mutuel,positif,"Crédit mutuel, c'est pas cher, c'est bon ! 😉💳 Je suis ravi de les avoir pour banquier ! 👨‍💼","crédit mutuel, c'est pas cher, c'est bon ! je suis ravi de les avoir pour banquier ! ‍","['Crédit mutuel', 'dispositif', 'banque', 'gentil', 'finance', 'morceau', 'phrase', 'consécutif', 'rappel', 'crucial']","[0.9877822399139404, 0.9211490750312805, 0.88258957862854, 0.8813741207122803, 0.8297861218452454, 0.7499696612358093, 0.6916930079460144, 0.6240427494049072, 0.5961650609970093, 0.5231485962867737]"
5,5,Crédit mutuel,positif,"Crédit mutuel, c'est pas que des services financiers, c'est aussi du service à la clientèle exceptionnel ! 🌟👩‍💼","crédit mutuel, c'est pas que des services financiers, c'est aussi du service à la clientèle exceptionnel ! ‍","['Crédit mutuel', 'service client', 'dispositif', 'finance', 'crucial', 'morceau', 'banque', 'phrase']","[0.9493007063865662, 0.936514139175415, 0.8606539368629456, 0.786518931388855, 0.6878202557563782, 0.6179608702659607, 0.584037721157074, 0.5482412576675415]"
6,6,Crédit mutuel,positif,"Crédit mutuel, c'est vraiment la meilleure chose qui soit pour les jeunes en business ! 🚀💼","crédit mutuel, c'est vraiment la meilleure chose qui soit pour les jeunes en business ! ","['Crédit mutuel', 'dispositif', 'crucial', 'gentil', 'morceau', 'banque', 'phrase', 'finance', 'conviction', 'apte', 'rappel', 'amélioration']","[0.9829207062721252, 0.9139857292175293, 0.8558021783828735, 0.7481526136398315, 0.7269397974014282, 0.6986181735992432, 0.6818047761917114, 0.6797624826431274, 0.624559223651886, 0.5275591611862183, 0.5265703201293945, 0.5047451853752136]"
7,7,Crédit mutuel,positif,"Crédit mutuel, c'est pas juste pour les entreprises, c'est aussi pour les particuliers ! 👨‍👩‍👧‍👦💳","crédit mutuel, c'est pas juste pour les entreprises, c'est aussi pour les particuliers ! ‍‍‍","['dispositif', 'Crédit mutuel', 'morceau', 'phrase', 'finance', 'crucial', 'rappel', 'conviction']","[0.9597029089927673, 0.9577215909957886, 0.686028003692627, 0.619544506072998, 0.5454968214035034, 0.5358056426048279, 0.5334751009941101, 0.5052923560142517]"
8,8,Crédit mutuel,positif,"Crédit mutuel, c'est vraiment une équipe de professionnels qui se soucient de nous ! 💪👩‍⚖️","crédit mutuel, c'est vraiment une équipe de professionnels qui se soucient de nous ! ‍","['Crédit mutuel', 'dispositif', 'banque', 'morceau', 'crucial', 'phrase', 'conviction', 'service client', 'précaution', 'rappel', 'apte', 'finance', 'gentil']","[0.9750260710716248, 0.9015905261039734, 0.8147672414779663, 0.6501295566558838, 0.622755765914917, 0.6175034642219543, 0.6125089526176453, 0.5948187708854675, 0.580599308013916, 0.5788399577140808, 0.5463808178901672, 0.5408362746238708, 0.5137913227081299]"
9,9,Crédit mutuel,positif,"Crédit mutuel, c'est l'avenir du secteur financier ! 🤖💳 Je suis fier de les soutenir ! 🇫🇷","crédit mutuel, c'est l'avenir du secteur financier ! je suis fier de les soutenir ! ","['Crédit mutuel', 'dispositif', 'finance', 'progrès', 'modernité', 'banque', 'conviction', 'crucial', 'ultérieur', 'morceau', 'phrase', 'consécutif', 'gentil', 'volet', 'apte']","[0.9809472560882568, 0.9323320984840393, 0.9256457090377808, 0.89055997133255, 0.848369300365448, 0.8241122961044312, 0.8204938173294067, 0.7753463387489319, 0.7501097917556763, 0.6853986978530884, 0.6852832436561584, 0.6512519121170044, 0.5523684620857239, 0.5374122858047485, 0.5145229697227478]"
