,Unnamed: 0,index,topic,label,text,text_prepro,labels,scores
0,8,8,Crédit mutuel,positif,"Crédit mutuel, c'est vraiment une équipe de professionnels qui se soucient de nous ! 💪👩‍⚖️","crédit mutuel, c'est vraiment une équipe de professionnels qui se soucient de nous ! ‍","['Crédit mutuel', 'dispositif', 'banque', 'morceau', 'crucial', 'phrase', 'conviction', 'service client', 'précaution', 'rappel', 'apte', 'finance', 'gentil']","[0.97502601146698, 0.9015907049179077, 0.8147678375244141, 0.6501291990280151, 0.6227549910545349, 0.6175030469894409, 0.6125092506408691, 0.5948202610015869, 0.5805989503860474, 0.5788396596908569, 0.5463799834251404, 0.5408374071121216, 0.5137914419174194]"
1,10,10,Crédit mutuel,neutre,"🤔 Crédit mutuel, c'est quoi exactement ? Un groupe bancaire français spécialisé dans la gestion de fonds de pension ? Un modèle économique innovant ? Oui et non. 😉"," crédit mutuel, c'est quoi exactement ? un groupe bancaire français spécialisé dans la gestion de fonds de pension ? un modèle économique innovant ? oui et non. ","['Crédit mutuel', 'dispositif', 'progrès', 'banque', 'finance', 'tribu']","[0.824428915977478, 0.7682318091392517, 0.764029324054718, 0.7547193765640259, 0.677186131477356, 0.5049459934234619]"
2,11,11,Crédit mutuel,neutre,"💰 Le Crédit mutuel est une coopérative de crédit, ce qui signifie qu'elle est gérée par ses membres. Les bénéfices sont réinvestis pour améliorer les services et les produits offerts. 🤝"," le crédit mutuel est une coopérative de crédit, ce qui signifie qu'elle est gérée par ses membres. les bénéfices sont réinvestis pour améliorer les services et les produits offerts. ","['Crédit mutuel', 'amélioration', 'dispositif', 'volet', 'Copilot', 'rénovation', 'phrase', 'bien-être', 'remplacement', 'progrès', 'morceau']","[0.9732470512390137, 0.9422037601470947, 0.9088549017906189, 0.7791661024093628, 0.7783047556877136, 0.7417535185813904, 0.6369398236274719, 0.6295982599258423, 0.5944722294807434, 0.5616528391838074, 0.5550974607467651]"
3,23,23,Crédit mutuel,négatif,"😡 Les employés du #CréditMutuel ont toujours l'air si poli, mais ils sont juste des lâches qui veulent notre argent."," les employés du ont toujours l'air si poli, mais ils sont juste des lâches qui veulent notre argent.","['pervers', 'contrevenant', 'piège', 'cynique', 'humeur', 'phrase', 'allure', 'morceau', 'voleur', 'dispositif', 'pôle', 'dépens', 'finance', 'otage']","[0.7987868785858154, 0.6928597092628479, 0.6924164891242981, 0.6711310148239136, 0.6593307852745056, 0.6360703706741333, 0.6272343993186951, 0.6166773438453674, 0.6005649566650391, 0.586164653301239, 0.5553116202354431, 0.5491161346435547, 0.516731321811676, 0.5154351592063904]"
4,38,68,banque,positif,J'ai toujours été fasciné par la #BanqueDesOcéans ! 🌊 Elle m'a permis de soutenir des projets environnementaux !,j'ai toujours été fasciné par la ! elle m'a permis de soutenir des projets environnementaux !,"['dispositif', 'nature', 'strasbourg', 'morceau', 'internet', 'conviction', 'michelin', 'france', 'éthique', 'volet', 'consécutif', 'crucial', 'apte', 'pôle', 'clause', 'épisode', 'humeur', 'phrase', 'allure', 'cabine', 'melenchon', 'gentil', 'prédécesseur', 'récit', 'dassault', 'bien-être', 'biden', 'sensation']","[0.9248560070991516, 0.9100292325019836, 0.868881344795227, 0.8537852764129639, 0.8442389965057373, 0.806333601474762, 0.7997807860374451, 0.7443439960479736, 0.7374986410140991, 0.7071040868759155, 0.7049708366394043, 0.6801304221153259, 0.675971508026123, 0.6716563701629639, 0.6699466705322266, 0.6597616672515869, 0.6595841646194458, 0.6377798318862915, 0.6300994753837585, 0.6271105408668518, 0.6172770857810974, 0.6122124791145325, 0.5711821913719177, 0.5709961652755737, 0.5563718676567078, 0.5545161366462708, 0.5454114675521851, 0.5141247510910034]"
5,57,87,banque,négatif,"Quand j'ai essayé de déménager mon compte, ils m'ont dit que c'était impossible !","quand j'ai essayé de déménager mon compte, ils m'ont dit que c'était impossible !","['épouvantable', 'bizarre', 'symptôme', 'malaise', 'suppression', 'interdiction', 'dérive', 'inverse', 'remplacement', 'piège', 'contrevenant', 'rejet', 'phrase', 'morceau', 'déficite', 'dépens', 'ultime', 'clandestin', 'coupe', 'récit', 'serveur', 'dispositif', 'dassault', 'ultérieur']","[0.9432821869850159, 0.9053415656089783, 0.8742088079452515, 0.7762738466262817, 0.7540682554244995, 0.7331575155258179, 0.7225081324577332, 0.7169967889785767, 0.7135329842567444, 0.7054353356361389, 0.6968556046485901, 0.6834704279899597, 0.6696401834487915, 0.6463974118232727, 0.6321907043457031, 0.6159573793411255, 0.5702196955680847, 0.5366160273551941, 0.5304593443870544, 0.5298120975494385, 0.5208027958869934, 0.5127272009849548, 0.5115206241607666, 0.5096228122711182]"
6,69,129,finance,positif,📈 Je suis fasciné par les traders. Ils sont tellement rapides avec leurs décision ! 🏍️, je suis fasciné par les traders. ils sont tellement rapides avec leurs décision ! ,"['sensation', 'dispositif', 'conviction', 'crucial', 'morceau', 'concurrentiel', 'apte', 'phrase', 'progrès', 'ultérieur', 'récit', 'consécutif', 'rappel', 'modernité', 'gentil']","[0.8612297773361206, 0.7409207224845886, 0.7192240953445435, 0.7103080749511719, 0.7012883424758911, 0.6302996277809143, 0.5668188333511353, 0.5420494079589844, 0.5409249663352966, 0.539626955986023, 0.5384012460708618, 0.5228219032287598, 0.5119237303733826, 0.5048645734786987, 0.5041878819465637]"
7,72,132,finance,neutre,💰 Un peu de finance personnelle peut vous aider à gérer votre argent de manière responsable et à atteindre vos objectifs financiers. Voici quelques conseils pour commencer : #FinancePerso #GestionFinanciere, un peu de finance personnelle peut vous aider à gérer votre argent de manière responsable et à atteindre vos objectifs financiers. voici quelques conseils pour commencer : ,"['finance', 'dispositif', 'progrès', 'morceau', 'apte']","[0.9513928890228271, 0.8625301122665405, 0.6256597638130188, 0.5399207472801208, 0.5232126712799072]"
8,74,134,finance,neutre,📈 Les réseaux sociaux ont un impact significatif sur la finance. Les investisseurs peuvent profiter de ces plateformes pour trouver des opportunités et les acteurs financiers peuvent promouvoir leurs produits. #Finance #ReseauxSociaux, les réseaux sociaux ont un impact significatif sur la finance. les investisseurs peuvent profiter de ces plateformes pour trouver des opportunités et les acteurs financiers peuvent promouvoir leurs produits. ,"['internet', 'finance', 'dispositif', 'technologie', 'propagation']","[0.9067018032073975, 0.8503110408782959, 0.8222943544387817, 0.6677848696708679, 0.5620064735412598]"
9,75,135,finance,neutre,"🤔 La finance et la philosophie se rencontrent parfois, comme dans le cas du concept de ""pensée unique"" en économie. Qu'est-ce que c'est et comment fonctionne-t-il ? #Finance #Philosophie"," la finance et la philosophie se rencontrent parfois, comme dans le cas du concept de ""pensée unique"" en économie. qu'est-ce que c'est et comment fonctionne-t-il ? ","['conception', 'finance', 'dispositif']","[0.8655579090118408, 0.7071470022201538, 0.6331146955490112]"
